round,i,j,b_0,b_1
17,3,1,0.5,0.5
17,3,2,0.5,0.5
17,3,4,0.5,0.5
17,3,5,0.5,0.5
17,4,0,0.5,0.5
17,4,1,0.5,0.5
17,4,2,0.5,0.5
17,4,3,0.5,0.5
17,4,5,0.5,0.5
17,5,0,0.5,0.5
17,5,1,0.5,0.5
17,5,2,0.5,0.5
17,5,3,0.5,0.5
17,5,4,0.5,0.5
18,0,1,0.5,0.5
18,0,2,0.5,0.5
18,0,3,0.5,0.5
18,0,4,0.5,0.5
18,0,5,0.5,0.5
18,1,0,0.5,0.5
18,1,2,0.5,0.5
18,1,3,0.5,0.5
18,1,4,0.5,0.5
18,1,5,0.5,0.5
18,2,0,0.5,0.5
18,2,1,0.5,0.5
18,2,3,0.5,0.5
18,2,4,0.5,0.5
18,2,5,0.5,0.5
18,3,0,0.5,0.5
18,3,1,0.5,0.5
18,3,2,0.5,0.5
18,3,4,0.5,0.5
18,3,5,0.5,0.5
18,4,0,0.5,0.5
18,4,1,0.5,0.5
18,4,2,0.5,0.5
18,4,3,0.5,0.5
18,4,5,0.5,0.5
18,5,0,0.5,0.5
18,5,1,0.5,0.5
18,5,2,0.5,0.5
18,5,3,0.5,0.5
18,5,4,0.5,0.5
19,0,1,0.5,0.5
19,0,2,0.5,0.5
19,0,3,0.5,0.5
19,0,4,0.5,0.5
19,0,5,0.5,0.5
19,1,0,0.5,0.5
19,1,2,0.5,0.5
19,1,3,0.5,0.5
19,1,4,0.5,0.5
19,1,5,0.5,0.5
19,2,0,0.5,0.5
19,2,1,0.5,0.5
19,2,3,0.5,0.5
19,2,4,0.5,0.5
19,2,5,0.5,0.5
19,3,0,0.5,0.5
19,3,1,0.5,0.5
19,3,2,0.5,0.5
19,3,4,0.5,0.5
19,3,5,0.5,0.5
19,4,0,0.5,0.5
19,4,1,0.5,0.5
19,4,2,0.5,0.5
19,4,3,0.5,0.5
19,4,5,0.5,0.5
19,5,0,0.5,0.5
19,5,1,0.5,0.5
19,5,2,0.5,0.5
19,5,3,0.5,0.5
19,5,4,0.5,0.5
20,0,1,0.5,0.5
20,0,2,0.5,0.5
20,0,3,0.5,0.5
20,0,4,0.5,0.5
20,0,5,0.5,0.5
20,1,0,0.5,0.5
20,1,2,0.5,0.5
20,1,3,0.5,0.5
20,1,4,0.5,0.5
20,1,5,0.5,0.5
20,2,0,0.5,0.5
20,2,1,0.5,0.5
20,2,3,0.5,0.5
20,2,4,0.5,0.5
20,2,5,0.5,0.5
20,3,0,0.5,0.5
20,3,1,0.5,0.5
20,3,2,0.5,0.5
20,3,4,0.5,0.5
20,3,5,0.5,0.5
20,4,0,0.5,0.5
20,4,1,0.5,0.5
20,4,2,0.5,0.5
20,4,3,0.5,0.5
20,4,5,0.5,0.5
20,5,0,0.5,0.5
20,5,1,0.5,0.5
20,5,2,0.5,0.5
20,5,3,0.5,0.5
20,5,4,0.5,0.5
21,0,1,0.5,0.5
21,0,2,0.5,0.5
21,0,3,0.5,0.5
21,0,4,0.5,0.5
21,0,5,0.5,0.5
21,1,0,0.5,0.5
21,1,2,0.5,0.5
21,1,3,0.5,0.5
21,1,4,0.5,0.5
21,1,5,0.5,0.5
21,2,0,0.5,0.5
21,2,1,0.5,0.5
21,2,3,0.5,0.5
21,2,4,0.5,0.5
21,2,5,0.5,0.5
21,3,0,0.5,0.5
21,3,1,0.5,0.5
21,3,2,0.5,0.5
21,3,4,0.5,0.5
21,3,5,0.5,0.5
21,4,0,0.5,0.5
21,4,1,0.5,0.5
21,4,2,0.5,0.5
21,4,3,0.5,0.5
21,4,5,0.5,0.5
21,5,0,0.5,0.5
21,5,1,0.5,0.5
21,5,2,0.5,0.5
21,5,3,0.5,0.5
21,5,4,0.5,0.5
22,0,1,0.5,0.5
22,0,2,0.5,0.5
22,0,3,0.5,0.5
22,0,4,0.5,0.5
22,0,5,0.5,0.5
22,1,0,0.5,0.5
22,1,2,0.5,0.5
22,1,3,0.5,0.5
22,1,4,0.5,0.5
22,1,5,0.5,0.5
22,2,0,0.5,0.5
22,2,1,0.5,0.5
22,2,3,0.5,0.5
22,2,4,0.5,0.5
22,2,5,0.5,0.5
22,3,0,0.5,0.5
22,3,1,0.5,0.5
22,3,2,0.5,0.5
22,3,4,0.5,0.5
22,3,5,0.5,0.5
22,4,0,0.5,0.5
22,4,1,0.5,0.5
22,4,2,0.5,0.5
22,4,3,0.5,0.5
22,4,5,0.5,0.5
22,5,0,0.5,0.5
22,5,1,0.5,0.5
22,5,2,0.5,0.5
22,5,3,0.5,0.5
22,5,4,0.5,0.5
23,0,1,0.5,0.5
23,0,2,0.5,0.5
23,0,3,0.5,0.5
23,0,4,0.5,0.5
23,0,5,0.5,0.5
23,1,0,0.5,0.5
23,1,2,0.5,0.5
23,1,3,0.5,0.5
23,1,4,0.5,0.5
23,1,5,0.5,0.5
23,2,0,0.5,0.5
23,2,1,0.5,0.5
23,2,3,0.5,0.5
23,2,4,0.5,0.5
23,2,5,0.5,0.5
23,3,0,0.5,0.5
