belief_updates_enabled,belief_variant,experiment,final_mce,focal_mean_payoff_per_round,mean_payoff_per_agent_per_round,metrics_num_true_types,num_prototypes,observability,p_obs,payoff_game,run_dir,seed
False,uniform_beliefs,belief_ablation,0.7548986711623464,1.198,1.9562604340567613,2,2,full,1.0,prisoners_dilemma,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp4_belief_ablation/uniform_beliefs/seed_9,9
True,,matching_pennies,0.026127421108451725,0.4225,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_0,0
True,,matching_pennies,0.025260506694307648,0.403,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_1,1
True,,matching_pennies,0.026053284685498623,0.439,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_2,2
True,,matching_pennies,0.023002732076197942,0.451,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_3,3
True,,matching_pennies,0.027212880023372476,0.4245,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_4,4
True,,matching_pennies,0.02419816179430441,0.447,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_5,5
True,,matching_pennies,0.027935912813305694,0.417,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_6,6
True,,matching_pennies,0.03356716364135411,0.3895,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_7,7
True,,matching_pennies,0.03087119204122437,0.3915,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_8,8
True,,matching_pennies,0.024634417424325112,0.425,0.0,2,2,full,1.0,matching_pennies,/Users/jainendra/Documents/Cursor/ESL/runs/m7_full/milestone6/exp5_matching_pennies/seed_9,9
