round,i,j,r_i,r_j
53,11,12,3.0,3.0
53,8,16,0.0,3.0
53,0,13,0.0,3.0
53,11,2,3.0,0.0
54,19,15,3.0,3.0
54,3,7,4.0,4.0
54,4,3,4.0,4.0
54,1,5,4.0,4.0
54,8,18,0.0,3.0
55,4,7,4.0,4.0
55,1,10,3.0,3.0
55,17,8,3.0,0.0
55,19,16,3.0,3.0
55,7,19,0.0,3.0
55,1,0,4.0,4.0
55,11,6,4.0,4.0
55,4,19,0.0,3.0
55,12,16,3.0,3.0
55,3,18,0.0,3.0
55,5,16,0.0,3.0
55,16,4,3.0,0.0
55,11,3,3.0,0.0
55,14,3,4.0,4.0
56,11,1,3.0,0.0
56,8,11,0.0,3.0
56,5,19,0.0,3.0
56,10,1,3.0,0.0
56,2,5,4.0,4.0
56,10,7,3.0,0.0
56,15,16,3.0,0.0
56,9,10,0.0,3.0
56,2,16,0.0,3.0
56,3,5,4.0,4.0
56,1,4,0.0,3.0
56,18,11,3.0,0.0
56,17,15,3.0,3.0
56,19,2,3.0,0.0
56,10,18,3.0,3.0
57,15,17,3.0,3.0
57,4,16,0.0,3.0
57,9,7,0.0,3.0
57,12,18,3.0,3.0
57,5,14,4.0,4.0
58,18,8,3.0,0.0
58,18,17,3.0,3.0
58,9,6,4.0,4.0
58,0,18,0.0,3.0
58,7,5,3.0,0.0
58,18,14,3.0,0.0
58,12,15,0.0,3.0
58,18,9,3.0,3.0
58,6,1,4.0,4.0
58,4,18,0.0,3.0
58,13,1,3.0,0.0
59,9,6,3.0,3.0
59,15,6,3.0,3.0
59,1,0,4.0,4.0
59,9,7,4.0,4.0
59,13,5,0.0,3.0
59,5,1,4.0,4.0
59,5,19,0.0,3.0
60,9,16,0.0,3.0
60,11,4,3.0,0.0
60,6,2,3.0,3.0
60,4,3,4.0,4.0
60,13,5,3.0,3.0
60,15,0,3.0,0.0
60,1,8,4.0,4.0
60,4,14,0.0,3.0
61,10,9,0.0,3.0
61,0,8,4.0,4.0
61,10,16,3.0,3.0
61,19,12,3.0,0.0
61,5,7,3.0,0.0
61,13,10,3.0,3.0
61,3,1,4.0,4.0
61,15,3,3.0,0.0
61,4,17,0.0,3.0
61,9,8,4.0,4.0
61,10,14,3.0,3.0
61,1,13,0.0,3.0
62,19,17,3.0,3.0
62,19,15,3.0,0.0
62,9,1,4.0,4.0
62,12,2,3.0,0.0
62,8,19,4.0,4.0
62,18,4,3.0,0.0
62,17,4,3.0,0.0
62,12,4,4.0,4.0
62,4,6,4.0,4.0
62,19,3,3.0,0.0
62,10,11,4.0,4.0
63,18,12,3.0,3.0
63,9,12,0.0,3.0
63,1,13,0.0,3.0
63,15,3,3.0,0.0
63,17,1,3.0,0.0
63,8,3,4.0,4.0
63,9,13,0.0,3.0
63,17,10,3.0,3.0
63,8,15,0.0,3.0
63,5,17,0.0,3.0
63,5,13,0.0,3.0
63,17,13,3.0,3.0
63,9,18,0.0,3.0
63,18,19,3.0,3.0
64,2,0,4.0,4.0
64,3,9,4.0,4.0
64,15,16,3.0,3.0
64,5,15,3.0,3.0
64,5,14,3.0,0.0
64,4,16,0.0,3.0
64,6,12,4.0,4.0
64,2,15,3.0,3.0
64,5,18,4.0,4.0
64,3,15,4.0,4.0
64,15,8,3.0,0.0
64,16,1,3.0,3.0
64,8,2,4.0,4.0
64,10,12,0.0,3.0
65,18,1,3.0,0.0
65,5,11,0.0,3.0
65,11,17,3.0,3.0
65,9,11,4.0,4.0
65,12,2,3.0,0.0
65,16,6,3.0,3.0
65,2,6,4.0,4.0
65,10,7,3.0,0.0
65,5,15,3.0,3.0
65,15,1,3.0,0.0
66,18,9,3.0,0.0
